host_id,host_name,property_type,bedrooms,beds,bathrooms,ratings,neighbourhood,latitude,longitude,room_type,daily_price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
10615,Simon,Guesthouse,1.0,1,1.0,4.83,78704,30.24492,-97.76119,Entire home/apt,110,30,62,2023-08-19,0.46,1,117,4
2989106,Janet,Home,1.0,1,2.0,5.0,78722,30.29991,-97.71398,Private room,70,2,28,2019-12-09,0.21,1,0,0
12409,Flip,Condo,1.0,2,1.0,4.93,78705,30.28714,-97.75258,Entire home/apt,50,10,41,2023-08-09,0.31,2,244,7
2436512,Crystal,Bungalow,2.0,2,2.0,4.91,78702,30.27191,-97.71989,Entire home/apt,166,1,670,2023-08-27,5.0,7,251,64
3147504,Michelle,Guesthouse,2.0,2,1.0,4.98,78722,30.28273,-97.71702,Entire home/apt,187,2,435,2023-09-04,3.31,1,109,44
3179679,Jaz,Rental unit,1.0,1,1.0,4.8,78703,30.27808,-97.75098,Entire home/apt,190,3,11,2019-10-14,0.14,1,0,0
3222157,Tracey,Home,4.0,6,2.0,4.92,78704,30.25084,-97.73897,Entire home/apt,786,2,37,2022-06-22,0.29,1,357,0
3333277,Gisela,Guest suite,2.0,2,1.0,4.91,78704,30.25278,-97.77303,Entire home/apt,175,2,171,2023-04-02,1.29,1,130,14
543367,Mary,Home,2.0,2,1.0,4.96,78757,30.33529,-97.72924,Entire home/apt,160,30,25,2023-07-02,0.19,2,209,2
265070,Lata,Home,1.0,1,1.0,4.83,78733,30.34998,-97.85608,Private room,82,2,193,2023-07-29,1.49,2,155,8
2350380,Nessa,Home,3.0,3,1.0,4.93,78704,30.24831,-97.77864,Entire home/apt,375,2,16,2022-10-24,0.14,3,353,2
3382193,Ayann & Sebastian,Home,3.0,3,1.0,4.9,78704,30.24389,-97.76607,Entire home/apt,467,3,116,2022-03-27,0.91,1,0,0
2885190,John & Carol,Guesthouse,2.0,2,2.0,4.91,78704,30.24706,-97.75664,Entire home/apt,300,2,177,2023-06-19,1.33,1,20,11
3389824,Raquel + Jacob,Rental unit,1.0,1,1.0,4.63,78701,30.27089,-97.74113,Entire home/apt,821,1,349,2020-05-24,2.61,2,0,0
3434065,Leia & Keri,Home,1.0,1,1.0,4.93,78748,30.15374,-97.80159,Private room,66,1,253,2020-03-13,2.1,2,0,0
3434065,Leia & Keri,Guest suite,1.0,1,1.0,4.88,78748,30.15391,-97.80261,Private room,49,1,417,2020-02-16,3.39,2,1,0
3495665,Laura,Home,4.0,7,3.5,4.89,78703,30.2803,-97.75612,Entire home/apt,1011,2,37,2022-10-09,0.29,1,348,3
2157243,Sean,Home,4.0,3,2.0,5.0,78704,30.25505,-97.77267,Entire home/apt,1000,2,12,2018-03-19,0.09,8,364,0
3509782,Meaghan,Home,3.0,3,2.0,4.7,78731,30.3513,-97.76011,Entire home/apt,275,2,67,2020-02-28,0.52,1,0,0
3539325,Garret,Home,1.0,2,1.0,4.68,78704,30.23537,-97.75171,Entire home/apt,65,30,64,2022-09-30,0.48,2,253,1
3584580,Katherine,Home,3.0,4,1.0,4.61,78731,30.31268,-97.75381,Entire home/apt,148,3,62,2023-04-30,0.47,3,158,3
2207307,Elizabeth & Mike,Home,3.0,3,2.0,4.92,78705,30.2991,-97.74167,Entire home/apt,228,2,142,2020-03-11,1.11,1,0,0
3608356,Larry,Home,3.0,3,2.0,4.91,78704,30.23573,-97.76233,Entire home/apt,250,3,254,2023-08-20,1.96,1,267,28
3619116,Amy,Condo,1.0,1,1.0,4.96,78741,30.24618,-97.72823,Entire home/apt,263,2,49,2023-05-14,0.37,1,353,7
2548002,Trent,Home,4.0,5,3.0,4.86,78704,30.25803,-97.76974,Entire home/apt,325,30,16,2023-07-30,0.13,1,181,1
3626574,Bill,Home,1.0,1,1.0,4.97,78704,30.24654,-97.74713,Entire home/apt,193,1,866,2023-08-26,6.56,4,293,77
1208231,Nadia,Home,1.0,2,1.0,5.0,78704,30.24187,-97.77914,Entire home/apt,233,5,5,2016-03-07,0.04,1,0,0
3295530,Susan,Home,2.0,2,1.0,4.91,78704,30.24103,-97.76325,Entire home/apt,89,30,92,2023-06-22,0.7,1,119,3
3600437,Jake,Guest suite,1.0,1,1.0,4.88,78754,30.33652,-97.65128,Entire home/apt,149,1,265,2022-02-27,2.0,1,0,0
393905,David,Condo,1.0,1,1.0,4.95,78741,30.24538,-97.72945,Entire home/apt,200,2,129,2023-08-21,1.03,1,219,13
3718168,Caren,Townhouse,3.0,4,2.5,4.94,78723,30.29409,-97.704,Entire home/apt,250,2,83,2023-03-19,0.65,1,121,1
3742380,Paola,Bungalow,3.0,3,2.0,4.8,78702,30.25267,-97.72465,Entire home/apt,131,4,102,2023-07-31,0.8,1,286,17
1345415,Melissa,Home,1.0,1,1.0,4.9,78722,30.30148,-97.71339,Private room,57,30,21,2022-10-22,0.16,1,83,1
3769789,Chris,Home,3.0,3,2.0,5.0,78746,30.29727,-97.7892,Entire home/apt,5343,360,7,2015-03-19,0.05,2,363,0
1192714,Lisa,Bungalow,2.0,2,1.0,4.83,78704,30.24039,-97.74363,Entire home/apt,263,7,48,2020-02-29,0.36,1,0,0
3781862,Victoria,Home,1.0,1,1.0,4.92,78744,30.19554,-97.69451,Private room,33,30,51,2022-10-07,0.4,1,343,1
